,repo_id,pr_src_id,repo_name,pr_src_author_association,repo_group,pr_src_state,pr_created_at,pr_closed_at,created_year,created_month,closed_year,closed_month,pr_src_meta_label,pr_head_or_base,hours_to_close,days_to_close,hours_to_first_response,days_to_first_response,hours_to_last_response,days_to_last_response,first_response_time,last_response_time,average_time_between_responses,assigned_count,review_requested_count,labeled_count,subscribed_count,mentioned_count,referenced_count,closed_count,head_ref_force_pushed_count,merged_count,milestoned_count,unlabeled_count,head_ref_deleted_count,comment_count,lines_added,lines_removed,commit_count,file_count,average_days_between_responses,average_hours_between_responses,created_yearmonth,closed_yearmonth,merged_flag,percentile_rank_local
117,25448,166025641,grimoirelab,CONTRIBUTOR,chaoss,closed,2018-01-30 16:11:52,2018-02-13 23:44:01,2018,01,2018,2.0,chaoss:master,base,343.535833333333,14.3139930555556,1.4875,0.0619791666666667,343.532777777778,14.3138657407407,2018-01-30 17:41:07,2018-02-13 23:43:50,4 days 18:00:54.333333000,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,,,11.0,,4.0,96.0,2018-01-01 00:00:00,2018-02-01 00:00:00,Merged / Accepted,0.8880597014925373
118,25448,233712507,grimoirelab,MEMBER,chaoss,closed,2018-11-26 22:07:10,2019-01-09 09:44:12,2018,11,2019,1.0,chaoss:master,base,1043.61722222222,43.4840509259259,422.471944444444,17.6029976851852,1031.74194444444,42.9892476851852,2018-12-14 12:35:29,2019-01-08 21:51:41,8 days 11:05:24.000000000,0.0,6.0,0.0,9.0,9.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,,,1.0,,8.0,192.0,2018-11-01 00:00:00,2019-01-01 00:00:00,Merged / Accepted,0.9402985074626866
120,25448,161456993,grimoirelab,MEMBER,chaoss,closed,2018-01-06 00:58:37,2018-01-10 21:49:28,2018,01,2018,1.0,chaoss:master,base,116.8475,4.86864583333333,114.374444444444,4.76560185185185,116.848333333333,4.86868055555556,2018-01-10 19:21:05,2018-01-10 21:49:31,0 days 00:49:28.666667000,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,,,1.0,,0.0,0.0,2018-01-01 00:00:00,2018-01-01 00:00:00,Merged / Accepted,0.8059701492537313
126,25448,216917897,grimoirelab,CONTRIBUTOR,chaoss,closed,2018-09-20 10:17:07,2018-11-14 22:01:43,2018,09,2018,11.0,chaoss:master,base,1331.74333333333,55.4893055555556,98.1586111111111,4.08994212962963,1297.51027777778,54.0629282407407,2018-09-24 12:26:38,2018-11-13 11:47:44,24 days 23:40:33.000000000,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,28.0,8.0,3.0,2.0,24.0,576.0,2018-09-01 00:00:00,2018-11-01 00:00:00,Merged / Accepted,0.9925373134328358
129,25448,288895086,grimoirelab,CONTRIBUTOR,chaoss,closed,2019-06-17 15:18:59,2019-06-25 15:57:29,2019,06,2019,6.0,chaoss:master,base,192.641666666667,8.02673611111111,5.27805555555556,0.219918981481481,213.336666666667,8.88902777777778,2019-06-17 20:35:40,2019-06-26 12:39:11,4 days 08:01:45.500000000,0.0,0.0,0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,4.0,96.0,2019-06-01 00:00:00,2019-06-01 00:00:00,Merged / Accepted,0.8208955223880597
133,25448,357571042,grimoirelab,MEMBER,chaoss,closed,2019-12-28 18:17:46,2020-02-24 14:29:30,2019,12,2020,2.0,chaoss:master,base,1388.19555555556,57.8414814814815,1388.17083333333,57.8404513888889,1388.17083333333,57.8404513888889,2020-02-24 14:28:01,2020-02-24 14:28:01,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,2019-12-01 00:00:00,2020-02-01 00:00:00,Merged / Accepted,1.0
134,25448,359257618,grimoirelab,CONTRIBUTOR,chaoss,closed,2020-01-04 23:55:54,2020-01-16 13:37:29,2020,01,2020,1.0,,,277.693055555556,11.5705439814815,21.1030555555556,0.879293981481482,21.1030555555556,0.879293981481482,2020-01-05 21:02:05,2020-01-05 21:02:05,0 days 00:00:00.000000000,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,2020-01-01 00:00:00,2020-01-01 00:00:00,Merged / Accepted,0.8731343283582089
155,25448,356138303,grimoirelab,MEMBER,chaoss,closed,2019-12-23 00:51:55,2020-02-10 16:46:32,2019,12,2020,2.0,chaoss:master,base,1191.91027777778,49.6629282407407,1191.91027777778,49.6629282407407,1191.91027777778,49.6629282407407,2020-02-10 16:46:32,2020-02-10 16:46:32,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,2019-12-01 00:00:00,2020-02-01 00:00:00,Not Merged / Rejected,0.9701492537313433
156,25448,402822645,grimoirelab,CONTRIBUTOR,chaoss,closed,2020-04-13 20:22:36,2020-06-03 15:07:12,2020,04,2020,6.0,chaoss:master,base,1218.74333333333,50.7809722222222,954.495277777778,39.7706365740741,954.495277777778,39.7706365740741,2020-05-23 14:52:19,2020-05-23 14:52:19,0 days 00:00:00.000000000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,0.0,0.0,2020-04-01 00:00:00,2020-06-01 00:00:00,Not Merged / Rejected,0.9776119402985075
160,25448,282173674,grimoirelab,MEMBER,chaoss,closed,2019-05-24 22:16:43,2019-06-03 17:05:07,2019,05,2019,6.0,chaoss:master,base,234.806666666667,9.78361111111111,234.806666666667,9.78361111111111,234.806666666667,9.78361111111111,2019-06-03 17:05:07,2019-06-03 17:05:07,0 days 00:00:00.000000000,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,2019-05-01 00:00:00,2019-06-01 00:00:00,Not Merged / Rejected,0.8432835820895522
161,25448,240770254,grimoirelab,NONE,chaoss,closed,2018-12-24 12:44:33,2019-01-08 19:07:59,2018,12,2019,1.0,,,366.390555555556,15.2662731481481,366.390555555556,15.2662731481481,366.390555555556,15.2662731481481,2019-01-08 19:07:59,2019-01-08 19:07:59,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,2018-12-01 00:00:00,2019-01-01 00:00:00,Not Merged / Rejected,0.8955223880597015
162,25448,365607031,grimoirelab,NONE,chaoss,closed,2020-01-22 00:42:57,2020-02-04 15:15:00,2020,01,2020,2.0,,,326.534166666667,13.6055902777778,0.0552777777777778,0.00230324074074074,326.534166666667,13.6055902777778,2020-01-22 00:46:16,2020-02-04 15:15:00,3 days 09:37:11.000000000,0.0,0.0,0.0,8.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,3.0,72.0,2020-01-01 00:00:00,2020-02-01 00:00:00,Not Merged / Rejected,0.8805970149253731
